query_type,n_samples,acc_unmasked,acc_masked,acc_drop,drop_pct,retain_rate,fix_rate,n_correct_unmasked,n_incorrect_unmasked
count,2726,0.967351430667645,0.7410124724871606,0.22633895818048433,23.397800530906345,0.7470610542282897,0.5617977528089888,2637,89
explicit_arrow_direction,2244,0.9211229946524064,0.7642602495543672,0.1568627450980392,17.02951136913401,0.7818093855829705,0.559322033898305,2067,177
explicit_connection,2244,0.5120320855614974,0.5031194295900179,0.0089126559714795,1.7406440382941684,0.6527415143603134,0.3461187214611872,1149,1095
recognition_shape_and_color,5452,0.9946808510638298,0.9928466617754952,0.0018341892883345645,0.1843997787202664,0.9953900055319934,0.5172413793103449,5423,29
recognition_color,5452,0.9675348495964784,0.9735876742479824,-0.00605282465150403,-0.6255924170616107,0.9929857819905213,0.3954802259887006,5275,177
recognition_shape,5345,0.8063610851262862,0.825444340505145,-0.0190832553788588,-2.3665893271461784,0.9805104408352668,0.17971014492753623,4310,1035
implicit_spatial,2280,0.618421052631579,0.6451754385964912,-0.026754385964912197,-4.3262411347517595,0.8482269503546099,0.3160919540229885,1410,870
